id,exp_pct_share,exp_reflect,pos_enhances_research_quality,pos_helps_other_researchers,pos_enhances_research_visibility,pos_obligated_by_external_parties,pos_other_reasons,neg_data_is_exclusively_licensed,neg_data_is_subject_to_privacy_concerns,neg_data_code_are_valuable_intellectual_property,neg_data_code_are_part_of_ongoing_research,neg_concerns_about_unethical_usage,neg_concerns_that_own_work_is_discredited,neg_career_concerns_related_to_failed_replications_or_corrections,neg_transaction_costs_are_too_high,neg_concerns_about_data_code_quality,neg_other_reasons,dep_on_requesting_researcher,dep_on_tone_of_the_request,dep_on_reason_for_request,dep_other_reasons
245,82,"In phasing your question, it is not clear whether the data I was using were proprietary in the sense that I would be breaking my agreement by giving them to anyone who asked. If the data were mine, I would have answered 100%. The value of a good study is not the outcome but the idea. I would think any researcher would hope others would believe his/her research to be based on ideas that warrant replication and testing. Therefore, it should be the researcher's job to make sure his/her research is done carefully so it will stand the test of analysis by future scholars.",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
246,99,We must be able to do replications of prior work to determine whether inferences are correct and valid.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,92,Depends on whether the data is proprietary or publicly available. Also depends on the reasons behind the request.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
248,50,"It depends a bit on the other researcher motivation for approaching me. It sounded to me a bit as if the person intends to build up a database and to use my material as content for the platform. I would be hesitant of that. But, in general, I am always sharing data as well as survey/experimental material upon request",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
249,100,"Because if there is a shadow of a doubt, I pay the consequences. Moreover, I care about the results--so if they can be improved upon, I am all for it!",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,20,"When collecting data, I promise respondents full anonimity and promise them that their data will be stored in a safe place and will not be shared with others. Also, I do not generally feel that others should be able to use 'my' data for their own research. On the other hand, other researchers should be allowed to verify the soundness of my analyses.",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
252,80,The decision depends on the other researcher's credentials and presumed reasons for the request.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
253,33,"Decision depends on confidentiality of the data, seriousness of the other researcher's proposal, other researcher's reputation, questionable whether additional materials need to be shared given requirements on many journals to be transparent and make data / code available",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
254,85,I would want more details about WHY this researcher is seeking to replicate my research.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
255,85,"Unless the data were confidential or there was a competitive reason (i.e., competing paper) to deny the request, I would share it.",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
256,95,Likely would comply,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,100,"This seems like a standard request. Barring any privacy/confidentiality issues with sharing the data, I can't think of a reason not to.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
258,50,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,70,"Verification of „goodwill“ and background check of person needed (e.g., could be data skimming attempt)",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
260,90,I support the replicability of studies.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,26,Quality of previous research by the researcher requesting more information.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
262,80,"I am willing to share my code, but my decision regarding the data will depend on its source and cost (e.g., commercial privately bought or public but obtained at great cost) and also on whether I intend to conduct further analyses that could potentially constitute additional academic papers.",0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
263,80,Would probably ask for the reason the researcher needs my code and data. Why not reconstruct on their own?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
264,65,"I conduct mainly qualitative research within an interpretive approach. From this perspective, I would be happy to provide coding details, interviewee schedules, documentation reviewed and anything that was not 'confidential'",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
268,100,Just so.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,95,"I would be happy to share all of my materials, data etc. and have done so in the past.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,50,The willingness to allow data is dependent of the specific use of my research.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
280,80,Transparency is key to academic progress. I did not choose 100% because there is a tendency of some people to search for errors in data and code and attack researchers in non-constructive ways.,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
285,5,"It comes across as an incredibly rude request with an implicit assumption that the authors, reviewers and editor are ""morons.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
286,93,"When I ask other researchers for data, they are always happy to share data with me. That's why I do the same thing. With such sharing, our academic community could develop in a heathy way.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,10,Data may be of a proprietary/confidential nature and research ethics rules may require informants to be kept anonymous.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
288,75,"I would always be happy to share my code and methodology. However, not all data can be shared due to data provider requirements (e.g., data purchased from a data provider or confidential data). In those case, providing steps on how data is cleaned and prepared for econometric analyses is the best one can do.",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
289,80,"It depends on the research asking. If this is a random researcher, i may not be inclined to share, but if this is someone from my own field, I will definitely share.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
290,65,"As long as the researcher complies with the stated purpose of the request, I would be willing to cooperate. However, there is always the chance of misconduct by the other researcher; thus, I would be somewhat reluctant to accept the researcher's explanation of the request.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
291,100,"Because ability to replicate prior studies is critical to the progress of accounting research. That said, before complying with the researcher's request I would need to understand the motivation/objectives of the request as well as the intentions of the researcher.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
292,100,"If the data are publicly available, it would help the researcher and save a lot of re-inventing the wheel.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,100,"I am using public data, and my work can be reproduced regardless of whether I provide mine or not.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,100,"I try to keep my data and code well organized. It's no trouble to send the final versions of stuff. It's also helpful to other researchers, and since I occasionally make the same request of others, I selfishly want to encourage norms of sharing and compliance.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,80,Open source data can move research progress along more quickly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,80,I would be cautious in fear of the requester's intention to steal research ideas of working papers based on the same data. Otherwise I would be happy to share the requested material.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
298,85,I am usually open to giving data to reasonable requests.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
299,99,I do experiments so they'd ask for the materials ...,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,75,"I typically try to be transparent with my methods and materials; I'll share code and data with PhD students, but not faculty (who should do the work on their own).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
301,50,"It would depend on the amount of data transformation that is involved - and the concern that the researcher makes an error in replication, but is not careful enough to recheck the data several times/consult with others.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
302,88,"The request is reasonable.  However, the information should be available in the method section of the paper",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,100,"Historically science has been a gift economy.  Proprietorship of scientific knowledge is an obstacle to scientific activity.  Every scientist has an interest in her discoveries being validated by the scientific community.  To refuse other scholars from doing that for you seems counter-productive.  Of course accounting research is not about discovery or understanding; it is about ""hits"" in premier journals so data bases have a value in that their withholding confirms the researcher's contention on the strength of only two reviewers -- once it is in it is ""evidence"" forever.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,51,I would do this if the data is public anyhow. Often I have confidential data which would preclude me from sharing the data.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
305,5,I am worried that their paper tries to attack my paper and hurt my academic reputation.,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
306,62,"I would want to share my materials but I would be nervous that I did something ""wrong"" and it would make me look bad if my study didn't replicate. I'm a junior faculty and wouldn't want to do anything to jeopardize my reputation or likelihood of getting tenure.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
307,80,Not 100% since there sometimes weird people with weird emails.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
308,90,"Unless I have another ongoing project that builds on the data, I'm willing to share my research materials.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
309,90,Qualification and track record of the researcher. How do I know they have the skills to do the correct analysis?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
310,80,"Most likely yes, but all depends on the tone and the quality / trustworthiness of the requester.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
311,33,"Too often my research instruments have been used by others without attribution. Also, the number of requests from masters and doctoral students is large. Finally, my coauthors or I may be extending the study currently.     Data can be hard and expensive to collect especially from some populations such as experienced auditors. Just giving it away is a lot to ask.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
312,95,"Usually, sharing works to everyones advantage. However, there may be a few instances where this is not true",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
313,0,"Currently, I perform qualitative work via interviews. Much of my work is on highly sensitive topics and I have given participants assurance (via IRB) that their transcripts will not be shared expect where a review is REQUIRED by my university or by the journal. In other words, I am not at liberty to share my data without violating the confidence and trust of my subjects.     However, if my work was a case study, or not sensitive subject matter subject to IRB stipulations, I do not mind sharing. In fact, I have shared research instruments in the past.",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
314,50,Licences and uniquenes of data set.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
315,90,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,90,It depends on whether I know the person and their reputation in the research community. I think my reputation would be tarnished if I didn't provide but I would also be skeptical of providing someone I didn't know my hand-collected data and code that took years of work to produce.,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
318,80,"I don't mind sharing data, etc. However, it is time consuming. I would like to be sure there is an integrity behind the rquest before spending my time.",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
319,85,Would comply if I knew the researcher or felt I could trust the researcher.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
320,80,"I am open to sharing any data that I've collected when appropriate. Given I am an experimentalist, my research involves primary data that is not available to the public. I would need to obtain approval to share the data to comply with IRB/Ethics policies regarding the storage and dissemination of data collected via an experiment. I may be hesitant to share my code with an academic I do not know. Generally, the statistics I conduct are fairly straightforward so this would be an odd request. I think this may make more sense for an archivalist.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
321,100,"This is already happening if you publish in JAR, which I did. Our code is available on JAR’s website. Interested parties can access it and play with it.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,75,"Overall, this is important to comply with. I still can imagine that not every project I design will have public consumption in mind, so the occasional one might be difficult to be made *public*, even if  I am happy to share all on a one-to-one basis.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
323,80,"Happy to share (part of) my coding (e.g., dofiles) but sharing data (especially when it comes from commercial vendors) is perhaps not possible.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
324,80,"In most scenarios, when I can vouch for the quality of the data and the coding, I would share the research materials. When coding was not done by myself or in earlier work, where my coding was perhaps less elegant or efficient, I would perhaps prefer not to share the code (but let's say only the data) or at least not immediately.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
325,100,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,25,"Searching the correct data file and providing/explaining the data is time consuming, therefore I do not respond to each request. Moreover, I expect additional time consuming questions and discussion when I send the raw material.  Sometimes, a follow up study is planned and I cannot offer the data (= my USP).",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
328,20,"Data that I use typically come in the form of interviews, which are difficult to share in ""raw form"".",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
329,70,"If it's proprietary data, I cannot share. If it's public data, and I would like to share.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
330,75,Advancing research is aided by replication,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,50,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,100,This is a requirement of most journals and the ethical thing to do.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,71,I do not knwo the researcher hability on the method to contrapose my findings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
334,50,My research is qualitative in nature so 1) they could go to archives to get the data. I also do interviews and these can't be shared as they are under ethics.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
335,80,I usually would comply with the request if the intention what she/he wants to do with it is soundly explained by the requester and if there are no confidentiality reasons that might inhibit the sharing of the data (would then already have been clarified in the publication process with the journal and appropriately declared). Regarding the sharing of the research instrument there are usually no problems at all.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
336,95,"Nothing secret about any of it.  Unless a red flag (e.g., prior 'copy cat') i'd share",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
338,100,That is the right thing to do.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,87,It is important to have high standards for research outreach and reproducibility.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,10,"The question has not distinguished between different types of reasoning processes nor the type of data and follows a hypothetical-deductive logic, where replicability is important but is only part of the available research approaches.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
355,32,"The other researcher can already find the relevant information to replicate my study from my paper. If there is any confusion, I’m glad to clarify. I may share data to the public if the data is not subject to non disclosure restrictions by the data vendor.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
357,0,Why should I?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
358,83,I have nothing to hide,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,100,"The purpose of research is to better understand the world, and replication (and scrutiny) of one's research is an essential element of developing a deep understanding of the world.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,80,"S/He can get my code and my non-sensitive data. However, most of my research is based on sensitive data that can not be distributed without permission.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
361,90,"Science is (should be) open. If someone thinks that (s) he can build upon my study, that would only be great. Even the revision of results would not be an issue, I think, also depending upon the information that the other researcher is willing to give.     Some issues:  - I would be interested to see what the other researcher would be doing. If (s)he would focus on overthrowing previous work no matter what, that would be an issue (i.e., unethical research purpose, yet that would be difficult to grasp in a short contact);  - Similar, I would have to be able to share the data. E.g. if data was gathered through field study or survey where anonymity is guaranteed, I would not share the data;   - If I would be working on a follow-up paper with the same dataset, I would not share the dataset with the other researcher.",1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
362,100,This is the way how science should work.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,50,"Building on my study is the most sensitive part, if I'm still in the process of generating follow up research with the same setting/data.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
364,90,"If  I was using the data in another study in process, I would delay sharing.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
365,80,"In most cases I would comply, but there are researchers out there I would not share with",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
366,50,Lack of faith in others’ motivation and intentions,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
367,70,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,50,"Main factors in no particular order:  1) Bandwidth - if code/data is already in format for sharing then yes, otherwise large fixed cost  2) Competitive interest - if data can be shared that does not affect publishability of existing working papers",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
369,80,"Depends on how the other person is presenting his/her request and his/her true intentions (i.e., genuine curiosity).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
370,75,I have had frivolous requests in the past.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
371,85,"I would detail the public datasets and the specific coding procedures/decisions, but I would hesitate to simply provide them full access to all aspects of the data and code without explanation or discussion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
372,24,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,100,This is simply how science is supposed to work.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,100,It is extremely important that we raise the standards for making data and the programs used to process the data publicly available.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,100,I would appreciate having others build on my research,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,81,If the data is not being used for further research projects then I would share it.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
378,80,"I do not mind any professional researcher veryfy my study, if I do not plan to write another paper based on collected data in the nearest future.",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
379,100,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,80,"I am quite happy to share materials and code. The sharing of data is dependent on whether there are any other restrictions prohibiting the sharing of data. If there are no restrictions, I may share the data if I believe the other researcher's ideas do not compete with my own ideas for using the data for future projects.",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
384,0,the material is my intellectual property,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
385,100,Would do so if data is not proprietary. Result can verified anyway,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
386,85,depends on type of data (proprietary data cant be shared),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
391,80,I would have to understand the academic purpose of the request and the quality of the prospected research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
392,70,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,100,"As long as the researcher was part of the accounting academic community, I would comply because sharing data etc. is part of the implicit contract we all make when conducting research",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
395,50,It would depend on the quality of the researcher who contacted me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
396,85,I'm usually open to sharing data/code as long as the individual requesting the information is willing to disclose who they are. If the individual requesting the information chooses to remain anonymous then I am reluctant to share such information.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
397,90,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,96,Research is meant to expand knowledge. We need to be open to scrutiny or science won’t progress in this regard.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
399,90,Depends if data are proprietary and useful for follow-on work by the same author team,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
400,21,My code and research design are my expertise and my ability to produce research. Giving it to someone that I do not know and that may use it in ways I do not know about seems risky.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
401,75,"I am all for providing an audit trail on research. But sometimes these requests are just thinly veiled ways to use someone else's effort to extract a second article out of the same data without extending coauthorship credit. This has happened to me. Collecting data takes time, and those rights need to be respected.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
402,80,"As a general rule, I would comply with these request. However, I can imagine some instances (requests from academics from not very well known institutions) where I would be more hesistant, fearing that it might be a scam of some sorts.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
403,100,"As long as it is feasible, I would help out.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
404,85,"It would depend if I had additional work I was planning to do. If I had created the database, I would want to ensure I received the benefits from my collection labor. I understand the need to provide data, but faculty have different time. Faculty who don't have to teach as much could get to a planned project faster than I could. I might ask the faculty what they needed it for and share it with them to accomplish their objective.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
405,100,I support research replicability and even if it does not replicate in other settings we need to know. That is the premise of scienece,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,20,I mainly do qualitative research. It is not possible to share the data with others with this type of research (agreements with the participants).,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
407,95,Move the literature forward and increase the visibility of my own work.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
