id,methodarea,researcharea
649,"{""1"",""2""}","{""7""}"
650,"{""1""}","{""1""}"
651,"{""1""}","{""1""}"
652,"{""1"",""5""}","{""1"",""9"",""10""}"
653,"{""1""}","{""1"",""4""}"
654,"{""1"",""3""}","{""2""}"
655,"{""3""}","{""1"",""4""}"
656,"{""4""}","{""2""}"
657,"{""1""}","{""2"",""10""}"
658,"{""1"",""3""}","{""1"",""2"",""7""}"
659,"{""1""}","{""1"",""4""}"
660,"{""3""}",NULL
661,"{""1""}","{""1"",""4"",""7"",""9""}"
662,"{""2""}","{""4"",""7"",""9""}"
663,"{""4""}","{""2"",""7"",""10""}"
664,"{""1"",""3""}","{""1"",""2""}"
665,"{""1"",""5""}","{""1"",""4"",""5"",""7"",""9""}"
666,"{""1"",""3""}","{""1"",""2""}"
667,"{""1""}","{""1""}"
668,"{""1"",""2"",""3"",""4"",""5""}","{""5"",""10""}"
669,"{""2"",""5""}","{""5"",""7"",""9""}"
670,"{""1""}","{""1"",""2"",""4"",""7""}"
671,"{""2""}","{""4""}"
672,"{""2""}","{""1"",""4""}"
673,"{""1"",""2"",""3"",""4""}","{""1"",""4""}"
674,"{""1""}","{""1"",""4""}"
675,"{""1""}","{""1"",""4""}"
676,"{""4""}","{""5""}"
677,"{""2"",""4""}","{""5"",""7"",""9""}"
678,"{""2""}","{""4""}"
679,"{""1""}","{""1""}"
680,"{""1""}","{""4""}"
681,"{""1"",""2""}","{""2""}"
682,"{""1""}","{""1"",""4"",""7"",""9"",""10""}"
683,"{""1"",""3""}","{""5""}"
684,"{""1"",""3""}","{""1""}"
685,"{""1""}","{""1""}"
686,"{""1"",""4""}","{""2""}"
687,"{""1""}",NULL
688,"{""1""}","{""1""}"
689,"{""1""}","{""1"",""3"",""4""}"
690,"{""2""}","{""2""}"
691,"{""1""}","{""1""}"
692,"{""1""}","{""1""}"
693,"{""1""}","{""1""}"
694,"{""1""}","{""1"",""4""}"
695,"{""1""}","{""1"",""2""}"
696,"{""1""}","{""1""}"
697,"{""1""}","{""1"",""3"",""4""}"
698,"{""1""}","{""1"",""4""}"
699,"{""1"",""2"",""4""}","{""1"",""5"",""7"",""10""}"
700,"{""2""}","{""1"",""4""}"
701,"{""1""}","{""1""}"
702,"{""1""}","{""1"",""3"",""4""}"
703,"{""1""}","{""4""}"
704,"{""2""}","{""2"",""4"",""5"",""10""}"
705,"{""1""}","{""1"",""2"",""3""}"
706,"{""2"",""4""}","{""4"",""5"",""7""}"
707,"{""2""}","{""4""}"
708,"{""2""}","{""1"",""4""}"
709,"{""2""}","{""1"",""4""}"
710,"{""2""}","{""4"",""5""}"
711,"{""1""}","{""1"",""4""}"
712,"{""1""}","{""1"",""2""}"
713,"{""1""}","{""1"",""3""}"
714,"{""1""}","{""1""}"
715,"{""3""}","{""4"",""5""}"
716,"{""1""}","{""1"",""2""}"
717,"{""1"",""4""}","{""4"",""5""}"
718,"{""1""}","{""1"",""3""}"
719,"{""2"",""4""}","{""4""}"
720,"{""1""}","{""1""}"
721,"{""1""}","{""4""}"
722,"{""2""}","{""4""}"
723,"{""1""}","{""1""}"
724,"{""1""}","{""1""}"
725,"{""1""}","{""1"",""4""}"
726,"{""2""}","{""4""}"
727,"{""1""}","{""1""}"
728,"{""1""}","{""1"",""3"",""4""}"
729,"{""1""}","{""3""}"
730,"{""1""}","{""4"",""5""}"
731,"{""1""}","{""1""}"
732,"{""1""}","{""1"",""7""}"
733,"{""2""}","{""1"",""4""}"
734,"{""2""}","{""1"",""3"",""4""}"
735,"{""1""}","{""1""}"
736,"{""2""}","{""1"",""2"",""7""}"
737,"{""1""}","{""1"",""4""}"
738,"{""1""}","{""1"",""2"",""3"",""4"",""10""}"
739,"{""1""}","{""1"",""4""}"
740,"{""2"",""4""}","{""4""}"
741,"{""2""}","{""4""}"
742,"{""1""}","{""1"",""3""}"
743,"{""4""}","{""2""}"
744,"{""1""}","{""1""}"
745,"{""1"",""3""}","{""1"",""2""}"
746,"{""1""}","{""1"",""2""}"
747,"{""1"",""2"",""4""}","{""1"",""4""}"
748,"{""1""}","{""1""}"
749,"{""1"",""2"",""4""}","{""1"",""4"",""5"",""7"",""9""}"
750,"{""1""}","{""1""}"
751,"{""1"",""3""}","{""1"",""2"",""3"",""4"",""5""}"
752,"{""1"",""2""}","{""1"",""4"",""7""}"
753,"{""1""}","{""2""}"
754,"{""1""}","{""1"",""3""}"
755,"{""1""}","{""1"",""2""}"
756,"{""1"",""2""}","{""1"",""2""}"
757,"{""1""}","{""1"",""4""}"
758,"{""1""}","{""1""}"
759,"{""1"",""3"",""4"",""5""}","{""3"",""7"",""9"",""10""}"
760,"{""1""}","{""1"",""4""}"
761,"{""1""}","{""1""}"
762,"{""1""}","{""1"",""4""}"
763,"{""1""}","{""1""}"
764,"{""1"",""4"",""5""}","{""1"",""4"",""5"",""9""}"
765,"{""2"",""4""}","{""4""}"
766,"{""1""}","{""1"",""3""}"
767,"{""2"",""4""}","{""4""}"
768,"{""1"",""2"",""4""}","{""7""}"
769,"{""1""}","{""1""}"
770,"{""2""}","{""3"",""4"",""9""}"
771,"{""1""}","{""1"",""4""}"
772,"{""1"",""2""}","{""1"",""3""}"
773,"{""1""}","{""1"",""4""}"
774,"{""2""}","{""2""}"
775,"{""1""}","{""4""}"
776,"{""1""}","{""1""}"
777,"{""1"",""5""}","{""3""}"
778,"{""1"",""4"",""5""}","{""1"",""7""}"
779,"{""1"",""4"",""5""}","{""1"",""2"",""5"",""7"",""9""}"
780,"{""1""}","{""1"",""3""}"
781,"{""1""}","{""1""}"
782,"{""4""}","{""7""}"
783,"{""4""}","{""2"",""9"",""10""}"
784,"{""1"",""3"",""4""}","{""1"",""2"",""9"",""10""}"
785,"{""1""}","{""1"",""9""}"
786,"{""1""}","{""3""}"
787,"{""1"",""2"",""3""}","{""1"",""2"",""4""}"
788,"{""1""}","{""1""}"
789,"{""1""}","{""1"",""7""}"
790,"{""4""}","{""2""}"
791,"{""1"",""4""}","{""1"",""5""}"
792,"{""1""}","{""1"",""3""}"
793,"{""1"",""5""}","{""4"",""5"",""9""}"
794,"{""2"",""3"",""4"",""5""}","{""4"",""5"",""9""}"
795,"{""2""}","{""5""}"
796,"{""2"",""5""}","{""4"",""5"",""7"",""9""}"
797,"{""1"",""2"",""3"",""4"",""5""}","{""1"",""3"",""4"",""5"",""7"",""9""}"
798,"{""1""}","{""1""}"
799,"{""2""}","{""1""}"
800,"{""1""}","{""1"",""4""}"
801,"{""1""}","{""1"",""2""}"
802,"{""1""}","{""1"",""4""}"
803,"{""1"",""3""}","{""1"",""2""}"
804,"{""1""}","{""1""}"
805,"{""2""}","{""2""}"
806,"{""1""}","{""4""}"
807,"{""1""}","{""2""}"
808,"{""1""}","{""1"",""4"",""5""}"
809,"{""2""}","{""1"",""4""}"
810,"{""1""}","{""1"",""4""}"
811,"{""1""}","{""1""}"
812,"{""1""}","{""1"",""2""}"
813,"{""1"",""2"",""4""}","{""4""}"
814,"{""4""}","{""2"",""4"",""7""}"
815,"{""1""}","{""1"",""3""}"
816,"{""2"",""5""}","{""3"",""9""}"
817,"{""1""}","{""1""}"
818,"{""1""}","{""4""}"
819,"{""1"",""2""}","{""1"",""4"",""5"",""7""}"
820,"{""1""}","{""1""}"
821,"{""2"",""5""}","{""4"",""9""}"
822,"{""1""}","{""1"",""2"",""4"",""5""}"
823,"{""1""}","{""3""}"
824,"{""1""}","{""1"",""4""}"
825,"{""2""}","{""2"",""4"",""7""}"
826,"{""1""}","{""1"",""3"",""4""}"
827,"{""1""}","{""1"",""3"",""4""}"
828,"{""1"",""3""}","{""1"",""2""}"
829,"{""1""}","{""1"",""4""}"
830,"{""1""}","{""1""}"
831,"{""2""}","{""4""}"
832,"{""4""}","{""1"",""2"",""7"",""10""}"
833,"{""1""}","{""1""}"
834,"{""2"",""4"",""5""}","{""4"",""5"",""7"",""9""}"
835,"{""1""}","{""1"",""4""}"
836,"{""1""}","{""1"",""4""}"
837,"{""1""}","{""1"",""4"",""5""}"
838,"{""1""}","{""2""}"
839,"{""1""}","{""3"",""4""}"
840,"{""1""}","{""1"",""4""}"
841,"{""2""}",NULL
842,"{""2"",""4""}","{""2""}"
843,"{""1""}","{""1"",""2""}"
844,"{""1""}","{""1"",""2"",""7""}"
845,"{""1""}","{""1"",""2"",""4""}"
846,"{""1""}","{""1"",""2"",""4"",""5""}"
847,"{""1"",""2""}","{""1"",""4""}"
848,"{""1""}","{""1"",""3"",""4"",""7""}"
849,"{""2""}","{""1"",""2"",""4"",""7""}"
850,"{""1"",""4""}","{""1"",""4""}"
851,"{""2""}","{""1"",""4""}"
852,"{""1""}","{""1"",""3"",""4""}"
853,"{""1""}","{""4""}"
854,"{""1""}","{""1""}"
855,"{""1""}","{""3""}"
856,"{""1""}","{""1""}"
857,"{""1""}","{""1"",""4""}"
858,"{""2""}","{""2"",""4"",""5""}"
859,"{""1""}","{""1"",""3""}"
860,"{""2""}","{""1"",""4""}"
861,"{""1""}","{""1"",""3""}"
862,"{""1""}","{""1"",""2"",""4"",""5""}"
863,"{""1""}","{""3""}"
864,"{""1"",""2""}","{""4"",""5""}"
865,"{""1"",""2"",""3""}","{""1""}"
866,"{""1""}","{""1"",""4""}"
867,"{""1""}","{""1"",""2""}"
868,"{""2"",""4""}","{""1"",""4""}"
869,"{""2"",""4""}","{""1"",""7""}"
870,"{""1""}","{""1"",""7""}"
871,"{""1""}","{""1"",""2"",""3""}"
872,"{""2""}","{""2"",""5"",""9""}"
873,"{""2"",""4""}","{""1"",""2"",""4""}"
874,"{""1""}","{""1""}"
875,"{""2""}","{""2""}"
876,"{""1""}","{""1"",""3""}"
877,"{""1""}","{""1""}"
878,"{""3""}","{""1"",""2""}"
879,"{""1""}","{""2"",""5""}"
880,"{""1"",""2"",""4""}","{""1"",""2"",""9""}"
881,"{""1"",""4""}","{""1"",""2""}"
882,"{""1""}","{""1""}"
883,"{""1""}","{""1"",""4""}"
884,"{""2"",""4""}","{""1"",""3"",""7""}"
885,"{""1"",""3"",""5""}","{""2"",""7"",""9""}"
886,"{""1""}","{""1"",""2""}"
887,"{""1""}","{""1""}"
888,"{""2""}","{""4""}"
889,"{""1""}","{""1"",""4""}"
890,"{""1"",""2""}","{""2""}"
891,"{""1"",""4""}","{""1"",""4"",""10""}"
892,"{""1""}","{""1"",""4""}"
893,"{""1""}","{""1""}"
894,"{""1""}","{""1"",""4"",""10""}"
895,"{""1""}","{""1"",""2"",""3"",""4""}"
896,"{""1""}","{""1"",""9""}"
897,"{""1"",""5""}","{""1"",""2"",""9""}"
898,"{""2"",""4""}","{""1"",""3""}"
899,"{""1""}","{""1"",""5""}"
900,"{""1"",""3""}","{""1"",""2""}"
901,"{""1"",""4"",""5""}","{""1"",""7"",""10""}"
902,"{""1""}","{""1"",""7""}"
903,"{""2""}","{""5""}"
904,"{""1"",""2"",""4"",""5""}","{""2"",""3"",""4"",""9""}"
905,"{""1"",""2"",""3"",""4""}","{""4"",""5"",""7""}"
906,"{""2"",""3""}","{""4"",""5""}"
907,"{""2"",""5""}","{""4"",""10""}"
908,"{""1"",""2""}","{""2"",""4""}"
909,"{""1""}","{""3"",""7""}"
910,"{""1""}","{""1"",""2""}"
911,"{""1""}","{""1""}"
912,"{""1""}","{""1"",""4""}"
913,"{""1""}","{""1""}"
914,"{""2""}","{""1"",""2"",""7""}"
915,"{""1"",""4""}","{""1"",""7"",""9""}"
916,"{""1""}","{""1"",""2"",""7"",""10""}"
917,"{""1"",""2""}","{""1"",""2""}"
918,"{""1""}","{""1""}"
919,"{""1""}","{""3""}"
920,"{""1""}","{""4""}"
921,"{""1""}","{""1""}"
922,"{""3""}","{""1"",""2"",""4""}"
923,"{""1"",""2"",""5""}","{""3""}"
924,"{""1""}","{""1""}"
925,"{""1""}","{""1""}"
926,"{""1"",""4""}","{""4"",""5""}"
927,"{""1""}","{""1"",""4"",""9""}"
928,"{""1"",""5""}","{""1"",""4""}"
929,"{""1"",""2""}","{""3""}"
930,"{""1"",""4""}","{""1"",""3"",""7""}"
931,"{""4""}","{""2"",""7""}"
932,"{""4""}","{""1"",""2"",""4"",""7""}"
933,"{""2""}","{""1"",""4"",""7""}"
934,"{""1"",""2"",""4""}","{""4"",""5"",""7"",""9""}"
935,"{""1"",""5""}","{""1"",""7"",""9""}"
936,"{""2"",""4"",""5""}","{""3""}"
937,"{""1""}","{""1"",""3"",""7"",""9""}"
938,"{""1""}","{""1"",""4""}"
939,"{""3""}","{""1"",""2"",""4""}"
940,"{""4""}","{""1""}"
941,"{""1""}","{""1"",""4""}"
942,"{""1""}","{""1"",""3""}"
943,"{""1"",""2"",""3""}","{""2""}"
944,"{""1"",""2""}","{""1"",""5"",""7"",""9""}"
945,"{""1"",""4""}","{""5"",""7"",""9""}"
946,"{""2""}","{""2"",""4"",""5""}"
947,"{""2"",""5""}","{""3"",""4"",""9""}"
948,"{""1"",""4""}","{""4"",""7""}"
949,"{""1"",""2""}","{""1"",""2""}"
950,"{""1"",""3""}","{""1""}"
951,"{""4""}","{""2"",""9""}"
952,"{""1"",""3""}","{""1"",""10""}"
953,"{""1""}","{""2""}"
954,"{""1"",""5""}","{""1"",""3"",""4"",""9""}"
955,"{""1"",""2""}","{""1"",""3""}"
956,"{""1"",""4"",""5""}","{""2"",""5"",""9""}"
957,"{""1"",""2"",""4""}","{""1"",""3"",""4"",""5""}"
958,"{""2"",""4"",""5""}","{""5"",""9""}"
959,"{""1"",""2""}","{""1"",""3""}"
960,"{""2""}","{""4"",""5"",""9""}"
961,"{""2"",""4""}","{""2"",""7"",""9""}"
962,"{""1""}","{""2"",""4"",""5""}"
963,"{""2""}","{""1"",""3"",""4"",""9""}"
964,"{""1"",""2""}","{""1"",""4"",""7""}"
965,"{""1"",""2""}","{""1"",""3""}"
966,"{""1""}","{""1"",""7""}"
967,"{""1"",""2""}","{""1"",""4"",""7""}"
968,"{""2"",""3""}","{""2""}"
969,"{""1""}","{""1"",""4""}"
970,"{""2"",""4""}","{""1"",""7""}"
971,"{""1""}","{""1"",""4""}"
972,"{""1"",""5""}","{""1"",""4""}"
973,"{""1"",""4""}","{""4"",""5""}"
974,"{""1"",""3"",""4""}","{""3"",""5""}"
975,"{""1"",""3"",""5""}","{""1"",""2""}"
976,"{""1""}","{""1"",""4""}"
977,"{""1""}","{""1""}"
978,"{""1"",""5""}","{""1"",""4"",""9""}"
979,"{""1"",""5""}","{""3"",""9""}"
980,"{""2"",""5""}","{""5""}"
981,"{""1""}","{""1"",""4""}"
982,"{""1"",""4""}","{""4"",""5"",""7"",""9""}"
983,"{""2""}","{""1"",""5""}"
984,"{""1""}","{""1"",""4"",""9""}"
985,"{""1""}","{""1"",""2""}"
986,"{""1""}","{""1""}"
987,"{""1""}","{""1"",""2"",""4""}"
988,"{""1""}","{""1"",""4""}"
989,"{""2""}","{""2"",""3""}"
990,"{""1"",""5""}","{""4"",""7"",""9""}"
991,"{""1""}","{""1"",""4""}"
992,"{""1""}","{""1"",""3"",""7""}"
993,"{""1""}","{""1"",""4"",""7"",""10""}"
994,"{""1"",""2""}","{""4""}"
995,"{""1"",""3"",""5""}","{""1"",""10""}"
996,"{""2"",""5""}","{""1"",""2"",""4"",""5"",""9"",""10""}"
997,"{""1""}","{""1"",""3""}"
998,"{""1"",""2"",""3"",""4""}","{""4"",""5""}"
999,"{""1"",""2""}","{""1"",""4"",""7""}"
1000,"{""1""}","{""1""}"
1001,"{""1""}","{""1""}"
1002,"{""1""}","{""1"",""3""}"
1003,"{""1""}","{""1""}"
1004,"{""1""}","{""1"",""7""}"
1005,"{""1""}","{""3""}"
1006,"{""1"",""4""}","{""4""}"
1007,"{""1""}","{""1"",""2"",""4""}"
1008,"{""1""}","{""1"",""2"",""3"",""4""}"
1009,"{""1"",""4""}","{""1""}"
1010,"{""1""}","{""1""}"
1011,"{""1""}","{""1"",""2"",""4""}"
1012,"{""1""}","{""1"",""4"",""7""}"
1013,{},NULL
1014,"{""1"",""4""}","{""1"",""4"",""7""}"
1015,"{""1""}","{""1""}"
1016,"{""1""}","{""1"",""4""}"
1017,"{""1""}","{""1"",""2"",""3""}"
1018,"{""1""}","{""1"",""2"",""7"",""9""}"
1019,"{""1""}","{""1"",""5""}"
1020,"{""1""}","{""1"",""3""}"
1021,"{""4""}","{""2""}"
1022,"{""1""}","{""1"",""3"",""5""}"
1023,"{""2"",""4""}","{""2"",""7""}"
1024,"{""1""}","{""1"",""4""}"
1025,"{""2""}","{""1"",""4""}"
1026,"{""1""}","{""1"",""3"",""10""}"
1027,"{""1""}","{""1"",""4""}"
1028,"{""1""}","{""1""}"
1029,"{""1""}","{""1""}"
1030,"{""2"",""4""}","{""3"",""4""}"
1031,"{""2""}","{""2"",""4""}"
1032,"{""1""}","{""1"",""4"",""5""}"
1033,"{""1"",""2""}","{""3"",""4"",""9""}"
1034,"{""1""}","{""1"",""2"",""3""}"
1035,"{""1""}","{""1"",""4""}"
1036,"{""1"",""2""}","{""1"",""3""}"
1037,"{""1"",""2""}","{""2""}"
1038,"{""1""}","{""1""}"
1039,"{""1"",""3""}","{""1""}"
1040,"{""1"",""3"",""4""}","{""1"",""4"",""5""}"
1041,"{""1"",""2"",""5""}","{""2"",""9""}"
1042,"{""1""}","{""1"",""3""}"
1043,"{""2""}","{""4""}"
1044,"{""1""}","{""1""}"
1045,"{""1""}","{""1""}"
1046,"{""1""}","{""1"",""4""}"
1047,"{""1"",""3""}","{""1"",""2""}"
1048,"{""4""}","{""2"",""4""}"
1049,{},{}
1050,"{""1""}","{""1"",""4""}"
1051,"{""1""}","{""1""}"
1052,"{""1""}","{""1"",""2""}"
1053,"{""4""}","{""1""}"
1054,"{""1""}","{""1""}"
1055,"{""1""}","{""1"",""3"",""4"",""7""}"
1056,"{""1""}","{""1"",""3"",""4""}"
1057,"{""1"",""4""}","{""2""}"
1058,"{""1""}","{""1"",""2""}"
1059,"{""1""}","{""4""}"
1060,"{""1"",""4""}","{""1"",""7""}"
1061,"{""2""}","{""4"",""5""}"
1062,"{""1"",""2""}","{""1"",""2""}"
1063,"{""1""}","{""1""}"
1064,"{""1""}","{""1"",""4""}"
1065,"{""1""}","{""1""}"
1066,"{""2""}","{""2""}"
1067,"{""1""}","{""1"",""2"",""4""}"
1068,"{""1""}","{""1"",""4""}"
1069,"{""2"",""4""}","{""2"",""5"",""7"",""9""}"
1070,"{""2""}","{""1"",""2"",""4""}"
1071,"{""1""}","{""1""}"
1072,"{""1""}","{""1"",""3""}"
1073,"{""1""}","{""1""}"
1074,"{""3""}","{""1""}"
1075,"{""1""}","{""1""}"
1076,"{""1""}","{""1"",""3"",""4""}"
1077,"{""1""}","{""1"",""2""}"
1078,"{""4""}","{""2"",""7""}"
1079,"{""1""}","{""1""}"
1080,"{""1""}","{""1""}"
1081,"{""1""}","{""1""}"
1082,"{""4""}","{""2""}"
1083,"{""1""}","{""1"",""4""}"
1084,"{""2"",""4""}","{""2"",""4"",""5"",""7""}"
1085,"{""3""}","{""1"",""2""}"
1086,"{""1"",""2""}","{""1"",""2"",""7"",""10""}"
1087,"{""1""}","{""1""}"
1088,"{""1"",""2""}","{""4""}"
1089,"{""1""}","{""1"",""4""}"
1090,"{""1"",""4""}","{""1"",""4"",""7""}"
1091,"{""1"",""2"",""3""}","{""1"",""2"",""5"",""7""}"
1092,"{""4""}","{""2""}"
1093,"{""1""}","{""3"",""4"",""5""}"
1094,"{""1""}","{""1""}"
1095,"{""1""}","{""1""}"
1096,"{""1"",""3""}","{""1"",""2"",""4""}"
1097,"{""1""}",{}
1098,"{""2"",""3""}","{""1"",""7""}"
1099,"{""1""}","{""1"",""2"",""5""}"
1100,"{""1""}","{""1"",""5""}"
1101,"{""2""}","{""4"",""5"",""7""}"
1102,"{""1"",""2""}","{""3""}"
1103,"{""2"",""4""}","{""4"",""5""}"
1104,"{""1"",""4""}","{""4""}"
1105,"{""1""}","{""1"",""4""}"
1106,"{""1"",""3""}","{""4""}"
1107,"{""1""}","{""4""}"
1108,"{""1""}","{""1""}"
1109,"{""1""}","{""1""}"
1110,"{""1"",""2""}","{""4""}"
1111,"{""1""}","{""1""}"
1112,"{""2""}","{""1"",""2""}"
1113,"{""1""}","{""1"",""2"",""4""}"
1114,"{""1""}","{""1"",""4""}"
1115,"{""1""}","{""1"",""2"",""7"",""10""}"
1116,"{""1"",""4""}","{""1"",""7"",""10""}"
1117,"{""1""}","{""1"",""3""}"
1118,"{""1""}","{""1"",""4""}"
1119,"{""2"",""5""}","{""4""}"
1120,"{""1""}","{""1"",""3""}"
1121,"{""1""}","{""1"",""2"",""4""}"
1122,"{""2"",""3""}","{""1"",""2"",""4"",""7""}"
1123,"{""3""}","{""1"",""2"",""3""}"
1124,"{""1""}","{""1"",""2"",""3"",""4""}"
1125,"{""2""}","{""2"",""5""}"
1126,"{""2""}","{""2""}"
1127,"{""1"",""4""}","{""1"",""5"",""10""}"
1128,"{""4""}","{""2"",""10""}"
1129,"{""2"",""5""}","{""4"",""5"",""9""}"
1130,"{""1""}","{""1"",""4""}"
1131,"{""1""}","{""1""}"
1132,"{""1""}","{""1"",""4""}"
1133,"{""1""}","{""1""}"
1134,"{""2"",""3"",""4""}","{""1"",""2"",""4"",""7"",""9""}"
1135,{},NULL
1136,"{""1""}","{""1"",""4""}"
1137,"{""1"",""4""}","{""7""}"
1138,"{""2"",""4""}","{""1"",""2""}"
1139,"{""1"",""2""}","{""4"",""10""}"
1140,"{""2""}","{""1"",""5"",""7""}"
1141,"{""1""}","{""1""}"
1142,"{""1""}","{""4""}"
1143,"{""1""}","{""1"",""4""}"
1144,"{""1""}","{""1"",""4""}"
1145,"{""1""}","{""1"",""4""}"
1146,"{""1""}","{""1"",""2""}"
1147,"{""1"",""2""}","{""2"",""5""}"
1148,{},NULL
1149,"{""2"",""4""}","{""5"",""10""}"
1150,"{""1""}","{""1"",""2"",""4"",""7""}"
1151,"{""3""}","{""1"",""5""}"
1152,"{""2""}","{""1""}"
1153,"{""1""}","{""1""}"
1154,"{""1""}","{""1"",""2""}"
1155,"{""1"",""4"",""5""}","{""4"",""5"",""7""}"
1156,"{""1""}","{""1"",""2""}"
1157,"{""1"",""2""}","{""1"",""2"",""4"",""5""}"
1158,"{""2""}","{""4""}"
1159,"{""4""}","{""5""}"
1160,"{""2""}","{""1""}"
1161,{},{}
1162,"{""2"",""4""}","{""1"",""4""}"
1163,"{""1"",""3""}","{""1"",""4""}"
1164,"{""1"",""3""}","{""1"",""2"",""4""}"
1165,"{""2""}","{""4"",""9"",""10""}"
1166,"{""3"",""5""}","{""1"",""4"",""5"",""7"",""9""}"
1167,"{""1"",""4""}","{""1"",""3""}"
1168,"{""1""}","{""1"",""4""}"
1169,"{""1"",""2""}","{""3"",""4"",""7""}"
1170,"{""1"",""4""}","{""1"",""4"",""7"",""9""}"
1171,"{""1""}","{""1"",""4""}"
1172,"{""2"",""5""}","{""3"",""7"",""9""}"
1173,"{""1""}","{""1"",""3"",""4""}"
1174,"{""1""}","{""1""}"
1175,"{""1"",""4""}","{""1"",""2"",""4"",""7""}"
1176,"{""2""}","{""1"",""3"",""4"",""9""}"
1177,"{""1"",""3""}","{""1"",""2""}"
1178,"{""1""}","{""1"",""4""}"
1179,"{""1""}","{""4"",""1""}"
1180,"{""4""}","{""2""}"
1181,"{""1""}","{""1"",""2"",""4""}"
1182,"{""1""}","{""1""}"
1183,"{""1"",""2"",""5""}","{""2""}"
1184,"{""1""}","{""1"",""4""}"
1185,"{""1"",""2"",""5""}","{""1"",""5"",""7"",""9""}"
1186,"{""1"",""2""}","{""1"",""5"",""9""}"
1187,"{""1""}","{""1"",""7""}"
1188,"{""1""}","{""1"",""2""}"
1189,"{""1"",""2""}","{""2"",""10""}"
1190,"{""1"",""3""}","{""1""}"
1191,"{""2"",""4"",""5""}","{""1"",""4"",""9""}"
1192,"{""1"",""5""}","{""1"",""2"",""7"",""9""}"
1193,"{""1""}","{""1"",""3""}"
1194,"{""2""}","{""1"",""2"",""3"",""4""}"
1195,"{""2""}","{""2""}"
1196,"{""1"",""5""}","{""4"",""5"",""7""}"
1197,"{""1""}","{""1""}"
1198,"{""1""}","{""1"",""3"",""9""}"
1199,"{""1"",""4""}","{""3""}"
1200,"{""1""}","{""1"",""3"",""4"",""9""}"
1201,"{""1"",""2"",""4"",""5""}","{""2"",""4"",""5"",""9"",""10""}"
1202,"{""1""}","{""1"",""4"",""7"",""9""}"
1203,"{""2"",""4"",""5""}","{""2"",""7"",""9""}"
1204,"{""2""}","{""3""}"
1205,"{""1""}","{""1""}"
1206,"{""1"",""4""}","{""1""}"
1207,"{""1"",""4"",""5""}","{""1"",""7"",""9"",""10""}"
1208,"{""2""}","{""4""}"
1209,"{""1""}","{""2""}"
1210,"{""1"",""2"",""5""}","{""2""}"
1211,"{""1"",""4"",""5""}","{""1"",""9"",""10""}"
1212,"{""1""}","{""7""}"
1213,"{""1"",""4""}","{""1"",""4"",""7"",""9""}"
1214,"{""1""}","{""1"",""4"",""9""}"
1215,"{""2"",""5""}","{""2"",""7""}"
1216,"{""2"",""5""}","{""4"",""9""}"
1217,"{""2"",""5""}","{""2"",""4"",""9""}"
1218,"{""1""}","{""1"",""4""}"
1219,{},{}
1220,"{""1"",""2""}","{""2""}"
1221,"{""1"",""4""}","{""2"",""7""}"
1222,"{""1"",""4""}","{""1"",""3"",""4""}"
1223,"{""1""}","{""1""}"
1224,"{""1""}","{""1"",""3""}"
1225,"{""1""}","{""1"",""4""}"
1226,"{""1"",""3"",""4"",""5""}","{""1"",""7"",""9"",""10""}"
1227,"{""1""}","{""1"",""5""}"
1228,"{""1""}","{""1""}"
1229,"{""1"",""5""}","{""1"",""3"",""4"",""9""}"
1230,"{""1""}","{""1"",""7""}"
1231,"{""1"",""4""}","{""1"",""4"",""7"",""10""}"
1232,"{""1""}","{""1""}"
1233,"{""2"",""4""}","{""2"",""4""}"
1234,"{""1"",""3""}","{""5""}"
1235,"{""1"",""3""}","{""1"",""2"",""3"",""4"",""10""}"
1236,"{""1"",""2""}","{""2"",""7""}"
1237,"{""1""}","{""1"",""4""}"
1238,"{""1"",""3""}","{""1"",""3"",""7""}"
1239,"{""1""}","{""1""}"
1240,"{""3""}","{""1""}"
1241,"{""1""}","{""1"",""3""}"
1242,"{""2""}","{""1"",""4""}"
1243,"{""2""}","{""2""}"
1244,"{""1"",""2"",""5""}","{""1"",""4"",""7"",""9""}"
1245,"{""1""}","{""1""}"
1246,"{""1""}","{""1""}"
1247,"{""1""}","{""1""}"
1248,"{""2"",""4""}","{""4"",""5""}"
1249,"{""2"",""5""}","{""4"",""9""}"
1250,"{""1""}","{""1""}"
1251,"{""1"",""3""}","{""1"",""7""}"
1252,{},{}
1253,"{""2"",""5""}","{""1"",""4"",""9""}"
1254,"{""1"",""3""}","{""1"",""4"",""7""}"
1255,"{""1""}","{""1"",""4""}"
1256,"{""1"",""2""}","{""1"",""2""}"
1257,"{""1""}","{""4""}"
1258,"{""1""}","{""1"",""2"",""4"",""5""}"
1259,"{""2""}","{""4""}"
1260,"{""1""}","{""3""}"
1261,"{""1""}","{""1"",""7""}"
1262,"{""2""}","{""2""}"
1263,"{""1""}","{""1""}"
1264,"{""2""}","{""2"",""5""}"
1265,"{""3""}","{""1"",""4""}"
1266,"{""2""}","{""1"",""3""}"
1267,"{""1""}","{""1"",""9""}"
1268,"{""3""}","{""1""}"
1269,"{""1""}","{""1"",""4""}"
1270,"{""1""}","{""1"",""2"",""4"",""10""}"
1271,"{""1""}","{""4""}"
1272,{},{}
1273,"{""2""}","{""4""}"
1274,"{""2"",""4""}","{""4""}"
1275,"{""1""}","{""1"",""2""}"
